 Number | Obsoleted |        Reference
RFC0053 |           | Crocker, S., "Official protocol mechanism", RFC 53, DOI 10.17487/RFC0053, June 1970, <https://www.rfc-editor.org/info/rfc53>.
RFC0054 |           | Crocker, S., Postel, J., Newkirk, J., and M. Kraley, "Official Protocol Proffering", RFC 54, DOI 10.17487/RFC0054, June 1970, <https://www.rfc-editor.org/info/rfc54>.
RFC0055 |           | Newkirk, J., Kraley, M., Postel, J., and S. Crocker, "Prototypical implementation of the NCP", RFC 55, DOI 10.17487/RFC0055, June 1970, <https://www.rfc-editor.org/info/rfc55>.
RFC0056 |           | Belove, E., Black, D., Flegal, R., and L. Farquar, "Third Level Protocol: Logger Protocol", RFC 56, DOI 10.17487/RFC0056, June 1970, <https://www.rfc-editor.org/info/rfc56>.
RFC0057 |           | Kraley, M. and J. Newkirk, "Thoughts and Reflections on NWG/RFC 54", RFC 57, DOI 10.17487/RFC0057, June 1970, <https://www.rfc-editor.org/info/rfc57>.
RFC0058 |           | Skinner, T., "Logical Message Synchronization", RFC 58, DOI 10.17487/RFC0058, June 1970, <https://www.rfc-editor.org/info/rfc58>.
RFC0059 |           | Meyer, E., "Flow Control - Fixed Versus Demand Allocation", RFC 59, DOI 10.17487/RFC0059, June 1970, <https://www.rfc-editor.org/info/rfc59>.
RFC0060 |           | Kalin, R., "A Simplified NCP Protocol", RFC 60, DOI 10.17487/RFC0060, July 1970, <https://www.rfc-editor.org/info/rfc60>.
RFC0061 |   RFC0062 | Walden, D., "Note on Interprocess Communication in a Resource Sharing Computer Network", RFC 61, DOI 10.17487/RFC0061, July 1970, <https://www.rfc-editor.org/info/rfc61>.
RFC0062 |           | Walden, D., "Systems for Interprocess Communication in a Resource Sharing Computer Network", RFC 62, DOI 10.17487/RFC0062, August 1970, <https://www.rfc-editor.org/info/rfc62>.
RFC0063 |           | Cerf, V., "Belated Network Meeting Report", RFC 63, DOI 10.17487/RFC0063, July 1970, <https://www.rfc-editor.org/info/rfc63>.
RFC0064 |           | Elie, M., "Getting rid of marking", RFC 64, DOI 10.17487/RFC0064, July 1970, <https://www.rfc-editor.org/info/rfc64>.
RFC0065 |           | Walden, D., "Comments on Host/Host Protocol document #1", RFC 65, DOI 10.17487/RFC0065, August 1970, <https://www.rfc-editor.org/info/rfc65>.
RFC0066 |   RFC0123 | Crocker, S., "NIC - third level ideas and other noise", RFC 66, DOI 10.17487/RFC0066, August 1970, <https://www.rfc-editor.org/info/rfc66>.
RFC0067 |           | Crowther, W., "Proposed Change to Host/IMP Spec to Eliminate Marking", RFC 67, DOI 10.17487/RFC0067, January 1970, <https://www.rfc-editor.org/info/rfc67>.
RFC0068 |           | Elie, M., "Comments on Memory Allocation Control Commands: CEASE, ALL, GVB, RET, and RFNM", RFC 68, DOI 10.17487/RFC0068, August 1970, <https://www.rfc-editor.org/info/rfc68>.
RFC0069 |           | Bhushan, A., "Distribution List Change for MIT", RFC 69, DOI 10.17487/RFC0069, September 1970, <https://www.rfc-editor.org/info/rfc69>.
RFC0070 |           | Crocker, S., "Note on Padding", RFC 70, DOI 10.17487/RFC0070, October 1970, <https://www.rfc-editor.org/info/rfc70>.
RFC0071 |           | Schipper, T., "Reallocation in Case of Input Error", RFC 71, DOI 10.17487/RFC0071, September 1970, <https://www.rfc-editor.org/info/rfc71>.
RFC0072 |           | Bressler, R., "Proposed Moratorium on Changes to Network Protocol", RFC 72, DOI 10.17487/RFC0072, September 1970, <https://www.rfc-editor.org/info/rfc72>.
RFC0073 |           | Crocker, S., "Response to NWG/RFC 67", RFC 73, DOI 10.17487/RFC0073, September 1970, <https://www.rfc-editor.org/info/rfc73>.
RFC0074 |           | White, J., "Specifications for Network Use of the UCSB On-Line System", RFC 74, DOI 10.17487/RFC0074, October 1970, <https://www.rfc-editor.org/info/rfc74>.
RFC0075 |           | Crocker, S., "Network Meeting", RFC 75, DOI 10.17487/RFC0075, October 1970, <https://www.rfc-editor.org/info/rfc75>.
RFC0076 |           | Bouknight, J., Madden, J., and G. Grossman, "Connection by name: User oriented protocol", RFC 76, DOI 10.17487/RFC0076, October 1970, <https://www.rfc-editor.org/info/rfc76>.
RFC0077 |           | Postel, J., "Network meeting report", RFC 77, DOI 10.17487/RFC0077, November 1970, <https://www.rfc-editor.org/info/rfc77>.
RFC0078 |           | Harslem, E., Heafner, J., and J. White, "NCP Status Report: UCSB/Rand", RFC 78, DOI 10.17487/RFC0078, October 1970, <https://www.rfc-editor.org/info/rfc78>.
RFC0079 |           | Meyer, E., "Logger Protocol error", RFC 79, DOI 10.17487/RFC0079, November 1970, <https://www.rfc-editor.org/info/rfc79>.
RFC0080 |   RFC0123 | Harslem, E. and J. Heafner, "Protocols and Data Formats", RFC 80, DOI 10.17487/RFC0080, December 1970, <https://www.rfc-editor.org/info/rfc80>.
RFC0081 |           | Bouknight, J., "Request for Reference Information", RFC 81, DOI 10.17487/RFC0081, December 1970, <https://www.rfc-editor.org/info/rfc81>.
RFC0082 |           | Meyer, E., "Network Meeting Notes", RFC 82, DOI 10.17487/RFC0082, December 1970, <https://www.rfc-editor.org/info/rfc82>.
RFC0083 |           | Anderson, R., Harslem, E., and J. Heafner, "Language-machine for data reconfiguration", RFC 83, DOI 10.17487/RFC0083, December 1970, <https://www.rfc-editor.org/info/rfc83>.
RFC0084 |           | North, J., "List of NWG/RFC's 1-80", RFC 84, DOI 10.17487/RFC0084, December 1970, <https://www.rfc-editor.org/info/rfc84>.
RFC0085 |           | Crocker, S., "Network Working Group meeting", RFC 85, DOI 10.17487/RFC0085, December 1970, <https://www.rfc-editor.org/info/rfc85>.
RFC0086 |           | Crocker, S., "Proposal for a Network Standard Format for a Data Stream to Control Graphics Display", RFC 86, DOI 10.17487/RFC0086, January 1971, <https://www.rfc-editor.org/info/rfc86>.
RFC0087 |           | Vezza, A., "Topic for Discussion at the Next Network Working Group Meeting", RFC 87, DOI 10.17487/RFC0087, January 1971, <https://www.rfc-editor.org/info/rfc87>.
RFC0088 |   RFC0189 | Braden, R. and S. Wolfe, "NETRJS: A third level protocol for Remote Job Entry", RFC 88, DOI 10.17487/RFC0088, January 1971, <https://www.rfc-editor.org/info/rfc88>.
RFC0089 |           | Metcalfe, R., "Some historic moments in networking", RFC 89, DOI 10.17487/RFC0089, January 1971, <https://www.rfc-editor.org/info/rfc89>.
RFC0090 |           | Braden, R., "CCN as a Network Service Center", RFC 90, DOI 10.17487/RFC0090, January 1971, <https://www.rfc-editor.org/info/rfc90>.
RFC0091 |           | Mealy, G., "Proposed User-User Protocol", RFC 91, DOI 10.17487/RFC0091, December 1970, <https://www.rfc-editor.org/info/rfc91>.
RFC0093 |           | McKenzie, A., "Initial Connection Protocol", RFC 93, DOI 10.17487/RFC0093, January 1971, <https://www.rfc-editor.org/info/rfc93>.
RFC0094 |           | Harslem, E. and J. Heafner, "Some thoughts on Network Graphics", RFC 94, DOI 10.17487/RFC0094, February 1971, <https://www.rfc-editor.org/info/rfc94>.
RFC0095 |   RFC0155 | Crocker, S., "Distribution of NWG/RFC's through the NIC", RFC 95, DOI 10.17487/RFC0095, February 1971, <https://www.rfc-editor.org/info/rfc95>.
RFC0096 |           | Watson, R., "An Interactive Network Experiment to Study Modes of Access the Network Information Center", RFC 96, DOI 10.17487/RFC0096, February 1971, <https://www.rfc-editor.org/info/rfc96>.
RFC0097 |           | Melvin, J. and R. Watson, "First Cut at a Proposed Telnet Protocol", RFC 97, DOI 10.17487/RFC0097, February 1971, <https://www.rfc-editor.org/info/rfc97>.
RFC0098 |           | Meyer, E. and T. Skinner, "Logger Protocol Proposal", RFC 98, DOI 10.17487/RFC0098, February 1971, <https://www.rfc-editor.org/info/rfc98>.
RFC0099 |           | Karp, P., "Network Meeting", RFC 99, DOI 10.17487/RFC0099, February 1971, <https://www.rfc-editor.org/info/rfc99>.
RFC0100 |           | Karp, P., "Categorization and guide to NWG/RFCs", RFC 100, DOI 10.17487/RFC0100, February 1971, <https://www.rfc-editor.org/info/rfc100>.
RFC0101 |           | Watson, R., "Notes on the Network Working Group meeting, Urbana, Illinois, February 17, 1971", RFC 101, DOI 10.17487/RFC0101, February 1971, <https://www.rfc-editor.org/info/rfc101>.
RFC0102 |           | Crocker, S., "Output of the Host-Host Protocol glitch cleaning committee", RFC 102, DOI 10.17487/RFC0102, February 1971, <https://www.rfc-editor.org/info/rfc102>.
RFC0103 |           | Kalin, R., "Implementation of Interrupt Keys", RFC 103, DOI 10.17487/RFC0103, February 1971, <https://www.rfc-editor.org/info/rfc103>.
RFC0104 |           | Postel, J. and S. Crocker, "Link 191", RFC 104, DOI 10.17487/RFC0104, February 1971, <https://www.rfc-editor.org/info/rfc104>.
RFC0105 |           | White, J., "Network Specifications for Remote Job Entry and Remote Job Output Retrieval at UCSB", RFC 105, DOI 10.17487/RFC0105, March 1971, <https://www.rfc-editor.org/info/rfc105>.
RFC0106 |           | O'Sullivan, T., "User/Server Site Protocol Network Host Questionnaire", RFC 106, DOI 10.17487/RFC0106, March 1971, <https://www.rfc-editor.org/info/rfc106>.
RFC0107 |           | Bressler, R., Crocker, S., Crowther, W., Grossman, G., Tomlinson, R., and J. White, "Output of the Host-Host Protocol Glitch Cleaning Committee", RFC 107, DOI 10.17487/RFC0107, March 1971, <https://www.rfc-editor.org/info/rfc107>.
RFC0108 |           | Watson, R., "Attendance list at the Urbana NWG meeting, February 17-19, 1971", RFC 108, DOI 10.17487/RFC0108, March 1971, <https://www.rfc-editor.org/info/rfc108>.
RFC0109 |           | Winett, J., "Level III Server Protocol for the Lincoln Laboratory 360/67 Host", RFC 109, DOI 10.17487/RFC0109, March 1971, <https://www.rfc-editor.org/info/rfc109>.
RFC0110 |           | Winett, J., "Conventions for Using an IBM 2741 Terminal as a User Console for Access to Network Server Hosts", RFC 110, DOI 10.17487/RFC0110, March 1971, <https://www.rfc-editor.org/info/rfc110>.
RFC0111 |           | Crocker, S., "Pressure from the Chairman", RFC 111, DOI 10.17487/RFC0111, March 1971, <https://www.rfc-editor.org/info/rfc111>.
RFC0112 |           | O'Sullivan, T., "User/Server Site Protocol: Network Host Questionnaire", RFC 112, DOI 10.17487/RFC0112, April 1971, <https://www.rfc-editor.org/info/rfc112>.
RFC0113 |           | Harslem, E., Heafner, J., and J. White, "Network activity report: UCSB Rand", RFC 113, DOI 10.17487/RFC0113, April 1971, <https://www.rfc-editor.org/info/rfc113>.
RFC0114 |           | Bhushan, A., "File Transfer Protocol", RFC 114, DOI 10.17487/RFC0114, April 1971, <https://www.rfc-editor.org/info/rfc114>.
RFC0115 |           | Watson, R. and J. North, "Some Network Information Center policies on handling documents", RFC 115, DOI 10.17487/RFC0115, April 1971, <https://www.rfc-editor.org/info/rfc115>.
RFC0116 |           | Crocker, S., "Structure of the May NWG Meeting", RFC 116, DOI 10.17487/RFC0116, April 1971, <https://www.rfc-editor.org/info/rfc116>.
RFC0117 |           | Wong, J., "Some comments on the official protocol", RFC 117, DOI 10.17487/RFC0117, April 1971, <https://www.rfc-editor.org/info/rfc117>.
RFC0118 |           | Watson, R., "Recommendations for facility documentation", RFC 118, DOI 10.17487/RFC0118, April 1971, <https://www.rfc-editor.org/info/rfc118>.
RFC0119 |           | Krilanovich, M., "Network Fortran Subprograms", RFC 119, DOI 10.17487/RFC0119, April 1971, <https://www.rfc-editor.org/info/rfc119>.
RFC0120 |           | Krilanovich, M., "Network PL1 subprograms", RFC 120, DOI 10.17487/RFC0120, April 1971, <https://www.rfc-editor.org/info/rfc120>.
RFC0121 |           | Krilanovich, M., "Network on-line operators", RFC 121, DOI 10.17487/RFC0121, April 1971, <https://www.rfc-editor.org/info/rfc121>.
RFC0122 |           | White, J., "Network specifications for UCSB's Simple-Minded File System", RFC 122, DOI 10.17487/RFC0122, April 1971, <https://www.rfc-editor.org/info/rfc122>.
RFC0123 |   RFC0165 | Crocker, S., "Proffered Official ICP", RFC 123, DOI 10.17487/RFC0123, April 1971, <https://www.rfc-editor.org/info/rfc123>.
RFC0124 |           | Melvin, J., "Typographical error in RFC 107", RFC 124, DOI 10.17487/RFC0124, April 1971, <https://www.rfc-editor.org/info/rfc124>.
RFC0125 |           | McConnell, J., "Response to RFC 86: Proposal for Network Standard Format for a Graphics Data Stream", RFC 125, DOI 10.17487/RFC0125, April 1971, <https://www.rfc-editor.org/info/rfc125>.
RFC0126 |           | McConnell, J., "Graphics Facilities at Ames Research Center", RFC 126, DOI 10.17487/RFC0126, April 1971, <https://www.rfc-editor.org/info/rfc126>.
RFC0127 |   RFC0145 | Postel, J., "Comments on RFC 123", RFC 127, DOI 10.17487/RFC0127, April 1971, <https://www.rfc-editor.org/info/rfc127>.
RFC0128 |           | Postel, J., "Bytes", RFC 128, DOI 10.17487/RFC0128, April 1971, <https://www.rfc-editor.org/info/rfc128>.
RFC0129 |           | Harslem, E., Heafner, J., and E. Meyer, "Request for comments on socket name structure", RFC 129, DOI 10.17487/RFC0129, April 1971, <https://www.rfc-editor.org/info/rfc129>.
RFC0130 |           | Heafner, J., "Response to RFC 111: Pressure from the chairman", RFC 130, DOI 10.17487/RFC0130, April 1971, <https://www.rfc-editor.org/info/rfc130>.
RFC0131 |           | Harslem, E. and J. Heafner, "Response to RFC 116: May NWG meeting", RFC 131, DOI 10.17487/RFC0131, April 1971, <https://www.rfc-editor.org/info/rfc131>.
RFC0132 |   RFC0154 | White, J., "Typographical Error in RFC 107", RFC 132, DOI 10.17487/RFC0132, April 1971, <https://www.rfc-editor.org/info/rfc132>.
RFC0133 |           | Sunberg, R., "File Transfer and Error Recovery", RFC 133, DOI 10.17487/RFC0133, April 1971, <https://www.rfc-editor.org/info/rfc133>.
RFC0134 |           | Vezza, A., "Network Graphics meeting", RFC 134, DOI 10.17487/RFC0134, April 1971, <https://www.rfc-editor.org/info/rfc134>.
RFC0135 |           | Hathaway, W., "Response to NWG/RFC 110", RFC 135, DOI 10.17487/RFC0135, April 1971, <https://www.rfc-editor.org/info/rfc135>.
RFC0136 |           | Kahn, R., "Host accounting and administrative procedures", RFC 136, DOI 10.17487/RFC0136, April 1971, <https://www.rfc-editor.org/info/rfc136>.
RFC0137 |           | O'Sullivan, T., "Telnet Protocol - a proposed document", RFC 137, DOI 10.17487/RFC0137, April 1971, <https://www.rfc-editor.org/info/rfc137>.
RFC0138 |           | Anderson, R., Cerf, V., Harslem, E., Heafner, J., Madden, J., Metcalfe, R., Shoshani, A., White, J., and D. Wood, "Status report on proposed Data Reconfiguration Service", RFC 138, DOI 10.17487/RFC0138, April 1971, <https://www.rfc-editor.org/info/rfc138>.
RFC0139 |           | O'Sullivan, T., "Discussion of Telnet Protocol", RFC 139, DOI 10.17487/RFC0139, May 1971, <https://www.rfc-editor.org/info/rfc139>.
RFC0140 |           | Crocker, S., "Agenda for the May NWG meeting", RFC 140, DOI 10.17487/RFC0140, May 1971, <https://www.rfc-editor.org/info/rfc140>.
RFC0141 |           | Harslem, E. and J. Heafner, "Comments on RFC 114: A File Transfer Protocol", RFC 141, DOI 10.17487/RFC0141, April 1971, <https://www.rfc-editor.org/info/rfc141>.
RFC0142 |           | Kline, C. and J. Wong, "Time-Out Mechanism in the Host-Host Protocol", RFC 142, DOI 10.17487/RFC0142, May 1971, <https://www.rfc-editor.org/info/rfc142>.
RFC0143 |   RFC0165 | Naylor, W., Wong, J., Kline, C., and J. Postel, "Regarding proffered official ICP", RFC 143, DOI 10.17487/RFC0143, May 1971, <https://www.rfc-editor.org/info/rfc143>.
RFC0144 |           | Shoshani, A., "Data sharing on computer networks", RFC 144, DOI 10.17487/RFC0144, April 1971, <https://www.rfc-editor.org/info/rfc144>.
RFC0145 |   RFC0165 | Postel, J., "Initial Connection Protocol Control Commands", RFC 145, DOI 10.17487/RFC0145, May 1971, <https://www.rfc-editor.org/info/rfc145>.
RFC0146 |           | Karp, P., McKay, D., and D. Wood, "Views on issues relevant to data sharing on computer networks", RFC 146, DOI 10.17487/RFC0146, May 1971, <https://www.rfc-editor.org/info/rfc146>.
RFC0147 |           | Winett, J., "Definition of a socket", RFC 147, DOI 10.17487/RFC0147, May 1971, <https://www.rfc-editor.org/info/rfc147>.
RFC0148 |           | Bhushan, A., "Comments on RFC 123", RFC 148, DOI 10.17487/RFC0148, May 1971, <https://www.rfc-editor.org/info/rfc148>.
RFC0149 |           | Crocker, S., "Best Laid Plans", RFC 149, DOI 10.17487/RFC0149, May 1971, <https://www.rfc-editor.org/info/rfc149>.
RFC0150 |           | Kalin, R., "Use of IPC Facilities: A Working Paper", RFC 150, DOI 10.17487/RFC0150, May 1971, <https://www.rfc-editor.org/info/rfc150>.
RFC0151 |           | Shoshani, A., "Comments on a proffered official ICP: RFCs 123, 127", RFC 151, DOI 10.17487/RFC0151, May 1971, <https://www.rfc-editor.org/info/rfc151>.
RFC0152 |           | Wilber, M., "SRI Artificial Intelligence status report", RFC 152, DOI 10.17487/RFC0152, May 1971, <https://www.rfc-editor.org/info/rfc152>.
RFC0153 |           | Melvin, J. and R. Watson, "SRI ARC-NIC status", RFC 153, DOI 10.17487/RFC0153, May 1971, <https://www.rfc-editor.org/info/rfc153>.
RFC0154 |           | Crocker, S., "Exposition Style", RFC 154, DOI 10.17487/RFC0154, May 1971, <https://www.rfc-editor.org/info/rfc154>.
RFC0155 |   RFC0168 | North, J., "ARPA Network mailing lists", RFC 155, DOI 10.17487/RFC0155, May 1971, <https://www.rfc-editor.org/info/rfc155>.
RFC0156 |           | Bouknight, J., "Status of the Illinois site: Response to RFC 116", RFC 156, DOI 10.17487/RFC0156, April 1971, <https://www.rfc-editor.org/info/rfc156>.
RFC0157 |           | Cerf, V., "Invitation to the Second Symposium on Problems in the Optimization of Data Communications Systems", RFC 157, DOI 10.17487/RFC0157, May 1971, <https://www.rfc-editor.org/info/rfc157>.
RFC0158 |   RFC0495 | O'Sullivan, T., "Telnet Protocol: A Proposed Document", RFC 158, DOI 10.17487/RFC0158, May 1971, <https://www.rfc-editor.org/info/rfc158>.
RFC0160 |   RFC0200, RFC0999 | Network Information Center. Stanford Research Institute, "RFC brief list", RFC 160, DOI 10.17487/RFC0160, May 1971, <https://www.rfc-editor.org/info/rfc160>.
RFC0161 |           | Shoshani, A., "Solution to the race condition in the ICP", RFC 161, DOI 10.17487/RFC0161, May 1971, <https://www.rfc-editor.org/info/rfc161>.
RFC0162 |           | Kampe, M., "NETBUGGER3", RFC 162, DOI 10.17487/RFC0162, May 1971, <https://www.rfc-editor.org/info/rfc162>.
RFC0163 |           | Cerf, V., "Data transfer protocols", RFC 163, DOI 10.17487/RFC0163, May 1971, <https://www.rfc-editor.org/info/rfc163>.
RFC0164 |           | Heafner, J., "Minutes of Network Working Group meeting, 5/16 through 5/19/71", RFC 164, DOI 10.17487/RFC0164, May 1971, <https://www.rfc-editor.org/info/rfc164>.
RFC0165 |           | Postel, J., "Proffered Official Initial Connection Protocol", RFC 165, DOI 10.17487/RFC0165, May 1971, <https://www.rfc-editor.org/info/rfc165>.
RFC0166 |           | Anderson, R., Cerf, V., Harslem, E., Heafner, J., Madden, J., Metcalfe, R., Shoshani, A., White, J., and D. Wood, "Data Reconfiguration Service: An implementation specification", RFC 166, DOI 10.17487/RFC0166, May 1971, <https://www.rfc-editor.org/info/rfc166>.
RFC0167 |           | Bhushan, A., Metcalfe, R., and J. Winett, "Socket conventions reconsidered", RFC 167, DOI 10.17487/RFC0167, May 1971, <https://www.rfc-editor.org/info/rfc167>.
RFC0168 |   RFC0211 | North, J., "ARPA Network mailing lists", RFC 168, DOI 10.17487/RFC0168, May 1971, <https://www.rfc-editor.org/info/rfc168>.
